Site,Year,Type,No_of_Sales,Median_Price,Mean_Price,lat,lon
Banyule City,2009,Units/Apartment,850,411500,435534,-37.7314254,145.082419
Banyule City,2009,Vacant House Block,42,260226,251731,-37.7314254,145.082419
Banyule City,2008,House,1346,445000,539838,-37.7314254,145.082419
Banyule City,2008,Units/Apartment,674,370000,408556,-37.7314254,145.082419
Banyule City,2008,Vacant House Block,44,282000,270004,-37.7314254,145.082419
Banyule City,2007,House,1738,410000,490189,-37.7314254,145.082419
Banyule City,2007,Units/Apartment,1004,342000,365312,-37.7314254,145.082419
Banyule City,2007,Vacant House Block,103,250000,237743,-37.7314254,145.082419
Banyule City,2006,House,1520,368500,428209,-37.7314254,145.082419
Banyule City,2006,Units/Apartment,715,298000,323569,-37.7314254,145.082419
Banyule City,2006,Vacant House Block,75,240000,246149,-37.7314254,145.082419
Bass Coast Shire,2016,House,1316,350000,381150,-38.5087582,145.5358152
Bass Coast Shire,2016,Units/Apartment,221,285000,321101,-38.5087582,145.5358152
Bass Coast Shire,2016,Vacant House Block,384,152500,178096,-38.5087582,145.5358152
Bass Coast Shire,2015,House,1167,340000,366805,-38.5087582,145.5358152
Bass Coast Shire,2015,Units/Apartment,168,288000,315273,-38.5087582,145.5358152
Bass Coast Shire,2015,Vacant House Block,294,139950,164891,-38.5087582,145.5358152
Bass Coast Shire,2014,House,1005,340000,372740,-38.5087582,145.5358152
Bass Coast Shire,2014,Units/Apartment,138,280000,318718,-38.5087582,145.5358152
Bass Coast Shire,2014,Vacant House Block,237,150000,170376,-38.5087582,145.5358152
Bass Coast Shire,2013,House,976,334500,367556,-38.5087582,145.5358152
Bass Coast Shire,2013,Units/Apartment,157,295000,317271,-38.5087582,145.5358152
Bass Coast Shire,2013,Vacant House Block,283,161000,175132,-38.5087582,145.5358152
Bass Coast Shire,2012,House,781,330000,352194,-38.5087582,145.5358152
Bass Coast Shire,2012,Units/Apartment,178,270000,306216,-38.5087582,145.5358152
Bass Coast Shire,2012,Vacant House Block,259,160000,178731,-38.5087582,145.5358152
Bass Coast Shire,2011,House,807,350000,383054,-38.5087582,145.5358152
Bass Coast Shire,2011,Units/Apartment,152,310000,394562,-38.5087582,145.5358152
Bass Coast Shire,2011,Vacant House Block,351,162900,184615,-38.5087582,145.5358152
Bass Coast Shire,2010,House,1083,332500,369269,-38.5087582,145.5358152
Bass Coast Shire,2010,Units/Apartment,237,305000,326309,-38.5087582,145.5358152
Bass Coast Shire,2010,Vacant House Block,596,155000,168068,-38.5087582,145.5358152
Bass Coast Shire,2009,House,1141,290000,323412,-38.5087582,145.5358152
Bass Coast Shire,2009,Units/Apartment,272,260000,302535,-38.5087582,145.5358152
Bass Coast Shire,2009,Vacant House Block,398,145000,152483,-38.5087582,145.5358152
Bass Coast Shire,2008,House,1012,275000,312521,-38.5087582,145.5358152
Bass Coast Shire,2008,Units/Apartment,189,284000,313290,-38.5087582,145.5358152
Bass Coast Shire,2008,Vacant House Block,296,142000,147741,-38.5087582,145.5358152
Bass Coast Shire,2007,House,1349,263000,294720,-38.5087582,145.5358152
Bass Coast Shire,2007,Units/Apartment,248,281000,325407,-38.5087582,145.5358152
Bass Coast Shire,2007,Vacant House Block,488,140950,140794,-38.5087582,145.5358152
Bass Coast Shire,2006,House,990,255000,283218,-38.5087582,145.5358152
Bass Coast Shire,2006,Units/Apartment,205,250000,284621,-38.5087582,145.5358152
Bass Coast Shire,2006,Vacant House Block,371,136000,141747,-38.5087582,145.5358152
Baw Baw Shire,2016,House,856,338500,351876,-38.035394,146.0249982
Baw Baw Shire,2016,Units/Apartment,150,261750,264633,-38.035394,146.0249982
Baw Baw Shire,2016,Vacant House Block,401,142000,154905,-38.035394,146.0249982
Baw Baw Shire,2015,House,852,320000,334384,-38.035394,146.0249982
Baw Baw Shire,2015,Units/Apartment,161,245000,243635,-38.035394,146.0249982
Baw Baw Shire,2015,Vacant House Block,394,132000,137270,-38.035394,146.0249982
Baw Baw Shire,2014,House,755,305000,315232,-38.035394,146.0249982
Baw Baw Shire,2014,Units/Apartment,150,245000,255910,-38.035394,146.0249982
Baw Baw Shire,2014,Vacant House Block,393,140000,136990,-38.035394,146.0249982
Baw Baw Shire,2013,House,729,295000,310477,-38.035394,146.0249982
Baw Baw Shire,2013,Units/Apartment,108,236000,251560,-38.035394,146.0249982
Baw Baw Shire,2013,Vacant House Block,375,136500,144606,-38.035394,146.0249982
Baw Baw Shire,2012,House,664,287500,300008,-38.035394,146.0249982
Baw Baw Shire,2012,Units/Apartment,93,230000,232024,-38.035394,146.0249982
Baw Baw Shire,2012,Vacant House Block,401,132500,136237,-38.035394,146.0249982
Baw Baw Shire,2011,House,686,281000,288474,-38.035394,146.0249982
Baw Baw Shire,2011,Units/Apartment,130,238750,240447,-38.035394,146.0249982
Baw Baw Shire,2011,Vacant House Block,527,135000,138539,-38.035394,146.0249982
Baw Baw Shire,2010,House,760,265234,277563,-38.035394,146.0249982
Baw Baw Shire,2010,Units/Apartment,147,229205,252125,-38.035394,146.0249982
Baw Baw Shire,2010,Vacant House Block,889,112500,117980,-38.035394,146.0249982
Baw Baw Shire,2009,House,828,240000,242234,-38.035394,146.0249982
Baw Baw Shire,2009,Units/Apartment,137,212000,243029,-38.035394,146.0249982
Baw Baw Shire,2009,Vacant House Block,711,90000,96487,-38.035394,146.0249982
Baw Baw Shire,2008,House,663,225000,230196,-38.035394,146.0249982
Baw Baw Shire,2008,Units/Apartment,104,220000,227317,-38.035394,146.0249982
Baw Baw Shire,2008,Vacant House Block,474,84000,88195,-38.035394,146.0249982
Baw Baw Shire,2007,House,693,225000,240243,-38.035394,146.0249982
Baw Baw Shire,2007,Units/Apartment,127,220000,293280,-38.035394,146.0249982
Baw Baw Shire,2007,Vacant House Block,358,82000,90973,-38.035394,146.0249982
Baw Baw Shire,2006,House,569,206000,216524,-38.035394,146.0249982
Baw Baw Shire,2006,Units/Apartment,93,210000,231860,-38.035394,146.0249982
Baw Baw Shire,2006,Vacant House Block,303,76500,92448,-38.035394,146.0249982
Bayside City,2016,House,1251,1703500,2041064,-37.9333402,145.016269
Bayside City,2016,Units/Apartment,897,780000,924131,-37.9333402,145.016269
Bayside City,2016,Vacant House Block,8,1062500,1172812,-37.9333402,145.016269
Bayside City,2015,House,1532,1530000,1817556,-37.9333402,145.016269
Bayside City,2015,Units/Apartment,1099,745000,893860,-37.9333402,145.016269
Bayside City,2015,Vacant House Block,5,703330,914642,-37.9333402,145.016269
Bayside City,2014,House,1558,1286500,1548122,-37.9333402,145.016269
Bayside City,2014,Units/Apartment,1441,660000,763845,-37.9333402,145.016269
Bayside City,2014,Vacant House Block,2,607500,607500,-37.9333402,145.016269
Bayside City,2013,House,1347,1210000,1452062,-37.9333402,145.016269
Bayside City,2013,Units/Apartment,1208,660000,771492,-37.9333402,145.016269
Bayside City,2013,Vacant House Block,0,1013500,1013500,-37.9333402,145.016269
Bayside City,2012,House,1096,1123500,1363326,-37.9333402,145.016269
Bayside City,2012,Units/Apartment,1092,595000,698311,-37.9333402,145.016269
Bayside City,2012,Vacant House Block,2,1013500,1013500,-37.9333402,145.016269
Bayside City,2011,House,1132,1170250,1380214,-37.9333402,145.016269
Bayside City,2011,Units/Apartment,973,605000,724581,-37.9333402,145.016269
Bayside City,2011,Vacant House Block,1,1850000,1850000,-37.9333402,145.016269
Bayside City,2010,House,1254,1257250,1488553,-37.9333402,145.016269
Bayside City,2010,Units/Apartment,911,655000,788766,-37.9333402,145.016269
Bayside City,2010,Vacant House Block,2,1005000,1005000,-37.9333402,145.016269
Bayside City,2009,House,1369,1075000,1310281,-37.9333402,145.016269
Bayside City,2009,Units/Apartment,884,555000,672093,-37.9333402,145.016269
Bayside City,2009,Vacant House Block,2,701000,701000,-37.9333402,145.016269
Bayside City,2008,House,1171,1050000,1292204,-37.9333402,145.016269
Bayside City,2008,Units/Apartment,798,510000,652502,-37.9333402,145.016269
Bayside City,2008,Vacant House Block,0,317700,745900,-37.9333402,145.016269
Bayside City,2007,House,1656,995000,1264134,-37.9333402,145.016269
Bayside City,2007,Units/Apartment,1088,515000,640686,-37.9333402,145.016269
Bayside City,2007,Vacant House Block,3,317700,745900,-37.9333402,145.016269
Bayside City,2006,House,1500,820000,1019775,-37.9333402,145.016269
Bayside City,2006,Units/Apartment,901,450000,570981,-37.9333402,145.016269
Bayside City,2006,Vacant House Block,0,103125,116185,-37.9333402,145.016269
Benalla Rural City,2016,House,216,230000,244928,-36.4122615,145.9358581
Benalla Rural City,2016,Units/Apartment,25,185000,180960,-36.4122615,145.9358581
Benalla Rural City,2016,Vacant House Block,35,100000,106200,-36.4122615,145.9358581
Benalla Rural City,2015,House,189,220000,239208,-36.4122615,145.9358581
Benalla Rural City,2015,Units/Apartment,38,182500,187092,-36.4122615,145.9358581
Benalla Rural City,2015,Vacant House Block,23,100500,99043,-36.4122615,145.9358581
Benalla Rural City,2014,House,167,235000,251284,-36.4122615,145.9358581
Benalla Rural City,2014,Units/Apartment,30,177550,174328,-36.4122615,145.9358581
Benalla Rural City,2014,Vacant House Block,34,87000,89554,-36.4122615,145.9358581
Benalla Rural City,2013,House,153,222000,235900,-36.4122615,145.9358581
Benalla Rural City,2013,Units/Apartment,32,167500,165843,-36.4122615,145.9358581
Benalla Rural City,2013,Vacant House Block,16,99500,90863,-36.4122615,145.9358581
Benalla Rural City,2012,House,133,215000,238477,-36.4122615,145.9358581
Benalla Rural City,2012,Units/Apartment,37,176000,176855,-36.4122615,145.9358581
Benalla Rural City,2012,Vacant House Block,21,87000,91476,-36.4122615,145.9358581
Benalla Rural City,2011,House,156,227000,240163,-36.4122615,145.9358581
Benalla Rural City,2011,Units/Apartment,16,175000,175840,-36.4122615,145.9358581
Benalla Rural City,2011,Vacant House Block,30,87000,94516,-36.4122615,145.9358581
Benalla Rural City,2010,House,138,220000,230481,-36.4122615,145.9358581
Benalla Rural City,2010,Units/Apartment,32,180000,195640,-36.4122615,145.9358581
Benalla Rural City,2010,Vacant House Block,38,86000,86605,-36.4122615,145.9358581
Benalla Rural City,2009,House,178,210000,220154,-36.4122615,145.9358581
Benalla Rural City,2009,Units/Apartment,24,158000,167854,-36.4122615,145.9358581
Benalla Rural City,2009,Vacant House Block,69,83000,79941,-36.4122615,145.9358581
Benalla Rural City,2008,House,159,208000,210971,-36.4122615,145.9358581
Benalla Rural City,2008,Units/Apartment,27,178000,168500,-36.4122615,145.9358581
Benalla Rural City,2008,Vacant House Block,24,87250,97350,-36.4122615,145.9358581
Benalla Rural City,2007,House,187,200000,220588,-36.4122615,145.9358581
Benalla Rural City,2007,Units/Apartment,25,170000,168460,-36.4122615,145.9358581
Benalla Rural City,2007,Vacant House Block,37,85000,95040,-36.4122615,145.9358581
Benalla Rural City,2006,House,181,200000,211091,-36.4122615,145.9358581
Benalla Rural City,2006,Units/Apartment,34,170500,157691,-36.4122615,145.9358581
Benalla Rural City,2006,Vacant House Block,35,75500,87757,-36.4122615,145.9358581
Boroondara City,2016,House,1841,1950000,2216758,-37.8119024,145.0713904
Boroondara City,2016,Units/Apartment,1463,665000,801033,-37.8119024,145.0713904
Boroondara City,2016,Vacant House Block,2,1875000,1875000,-37.8119024,145.0713904
Boroondara City,2015,House,2500,1900000,2190229,-37.8119024,145.0713904
Boroondara City,2015,Units/Apartment,1783,667500,794895,-37.8119024,145.0713904
Boroondara City,2015,Vacant House Block,2,1142500,1142500,-37.8119024,145.0713904
Boroondara City,2014,House,2382,1600000,1793691,-37.8119024,145.0713904
Boroondara City,2014,Units/Apartment,2352,600000,686082,-37.8119024,145.0713904
Boroondara City,2014,Vacant House Block,4,1125000,1075000,-37.8119024,145.0713904
Boroondara City,2013,House,2228,1410000,1610751,-37.8119024,145.0713904
Boroondara City,2013,Units/Apartment,2209,570000,649808,-37.8119024,145.0713904
Boroondara City,2013,Vacant House Block,1,110000,110000,-37.8119024,145.0713904
Boroondara City,2012,House,1820,1230000,1442324,-37.8119024,145.0713904
Boroondara City,2012,Units/Apartment,1476,549750,642898,-37.8119024,145.0713904
Boroondara City,2012,Vacant House Block,1,265000,265000,-37.8119024,145.0713904
Boroondara City,2011,House,1774,1265000,1474145,-37.8119024,145.0713904
Boroondara City,2011,Units/Apartment,1643,572000,616833,-37.8119024,145.0713904
Boroondara City,2011,Vacant House Block,0,190000,203216,-37.8119024,145.0713904
Boroondara City,2010,House,1960,1334000,1529117,-37.8119024,145.0713904
Boroondara City,2010,Units/Apartment,1717,600000,683952,-37.8119024,145.0713904
Boroondara City,2010,Vacant House Block,0,190000,203216,-37.8119024,145.0713904
Boroondara City,2009,House,2012,1125000,1310394,-37.8119024,145.0713904
Boroondara City,2009,Units/Apartment,1906,485000,538034,-37.8119024,145.0713904
Boroondara City,2009,Vacant House Block,3,190000,203216,-37.8119024,145.0713904
Boroondara City,2008,House,1715,1042500,1248806,-37.8119024,145.0713904
Boroondara City,2008,Units/Apartment,1403,449500,505542,-37.8119024,145.0713904
Boroondara City,2008,Vacant House Block,3,187500,206500,-37.8119024,145.0713904
Boroondara City,2007,House,2330,1050000,1257584,-37.8119024,145.0713904
Boroondara City,2007,Units/Apartment,1926,460000,547308,-37.8119024,145.0713904
Boroondara City,2007,Vacant House Block,23,200000,237323,-37.8119024,145.0713904
Boroondara City,2006,House,2075,793000,948934,-37.8119024,145.0713904
Boroondara City,2006,Units/Apartment,1635,365000,436885,-37.8119024,145.0713904
Boroondara City,2006,Vacant House Block,27,180000,222984,-37.8119024,145.0713904
Borough of Queenscliffe,2016,House,87,785000,868367,,
Borough of Queenscliffe,2016,Units/Apartment,27,590000,570796,,
Borough of Queenscliffe,2016,Vacant House Block,5,410000,406800,,
Borough of Queenscliffe,2015,House,104,721001,836776,,
Borough of Queenscliffe,2015,Units/Apartment,25,475000,613340,,
Borough of Queenscliffe,2015,Vacant House Block,4,361500,435750,,
Borough of Queenscliffe,2014,House,94,750000,917565,,
Borough of Queenscliffe,2014,Units/Apartment,20,401000,437895,,
Borough of Queenscliffe,2014,Vacant House Block,8,326500,304125,,
Borough of Queenscliffe,2013,House,76,732500,798717,,
Borough of Queenscliffe,2013,Units/Apartment,20,430000,428300,,
Borough of Queenscliffe,2013,Vacant House Block,3,340000,371666,,
Borough of Queenscliffe,2012,House,84,700000,787023,,
Borough of Queenscliffe,2012,Units/Apartment,11,430000,426568,,
Borough of Queenscliffe,2012,Vacant House Block,3,259000,306333,,
Borough of Queenscliffe,2011,House,65,645000,841756,,
Borough of Queenscliffe,2011,Units/Apartment,23,455000,519913,,
Borough of Queenscliffe,2011,Vacant House Block,4,325000,313750,,
Borough of Queenscliffe,2010,House,87,732000,826607,,
Borough of Queenscliffe,2010,Units/Apartment,21,530000,587047,,
Borough of Queenscliffe,2010,Vacant House Block,5,295000,286800,,
Borough of Queenscliffe,2009,House,89,595000,637210,,
Borough of Queenscliffe,2009,Units/Apartment,23,440000,488326,,
Borough of Queenscliffe,2009,Vacant House Block,1,340000,340000,,
Borough of Queenscliffe,2008,House,82,525000,616829,,
Borough of Queenscliffe,2008,Units/Apartment,20,375000,381675,,
Borough of Queenscliffe,2008,Vacant House Block,4,302500,278750,,
Borough of Queenscliffe,2007,House,158,522944,601844,,
Borough of Queenscliffe,2007,Units/Apartment,47,389396,447886,,
Borough of Queenscliffe,2007,Vacant House Block,10,299000,325768,,
Borough of Queenscliffe,2006,House,101,530000,644465,,
Borough of Queenscliffe,2006,Units/Apartment,33,330000,416772,,
Borough of Queenscliffe,2006,Vacant House Block,8,342500,317508,,
Brimbank City,2016,House,2328,515750,544360,-37.7594793,144.8071366
Brimbank City,2016,Units/Apartment,707,352000,374066,-37.7594793,144.8071366
Brimbank City,2016,Vacant House Block,105,380000,390376,-37.7594793,144.8071366
Brimbank City,2015,House,2672,442000,472440,-37.7594793,144.8071366
Brimbank City,2015,Units/Apartment,771,330000,339064,-37.7594793,144.8071366
Brimbank City,2015,Vacant House Block,151,275000,284495,-37.7594793,144.8071366
Brimbank City,2014,House,2290,405000,435553,-37.7594793,144.8071366
Brimbank City,2014,Units/Apartment,686,320000,328107,-37.7594793,144.8071366
Brimbank City,2014,Vacant House Block,222,285000,292662,-37.7594793,144.8071366
Brimbank City,2013,House,2144,385000,405323,-37.7594793,144.8071366
Brimbank City,2013,Units/Apartment,639,308000,310084,-37.7594793,144.8071366
Brimbank City,2013,Vacant House Block,208,268500,268579,-37.7594793,144.8071366
Brimbank City,2012,House,1803,377500,397342,-37.7594793,144.8071366
Brimbank City,2012,Units/Apartment,562,310000,319149,-37.7594793,144.8071366
Brimbank City,2012,Vacant House Block,136,274250,277291,-37.7594793,144.8071366
Brimbank City,2011,House,1860,399354,417190,-37.7594793,144.8071366
Brimbank City,2011,Units/Apartment,473,316000,337891,-37.7594793,144.8071366
Brimbank City,2011,Vacant House Block,200,255000,264216,-37.7594793,144.8071366
Brimbank City,2010,House,2436,400000,421201,-37.7594793,144.8071366
Brimbank City,2010,Units/Apartment,667,310000,321089,-37.7594793,144.8071366
Brimbank City,2010,Vacant House Block,498,229900,237168,-37.7594793,144.8071366
Brimbank City,2009,House,2859,335200,354137,-37.7594793,144.8071366
Brimbank City,2009,Units/Apartment,706,270000,280650,-37.7594793,144.8071366
Brimbank City,2009,Vacant House Block,1128,171000,182840,-37.7594793,144.8071366
Brimbank City,2008,House,2518,300000,320643,-37.7594793,144.8071366
Brimbank City,2008,Units/Apartment,647,240000,248457,-37.7594793,144.8071366
Brimbank City,2008,Vacant House Block,1055,154000,156780,-37.7594793,144.8071366
Brimbank City,2007,House,2998,262000,287035,-37.7594793,144.8071366
Brimbank City,2007,Units/Apartment,758,215000,248389,-37.7594793,144.8071366
Brimbank City,2007,Vacant House Block,1318,142000,158750,-37.7594793,144.8071366
Brimbank City,2006,House,2223,240000,263099,-37.7594793,144.8071366
Brimbank City,2006,Units/Apartment,451,207000,234687,-37.7594793,144.8071366
Brimbank City,2006,Vacant House Block,824,140000,150169,-37.7594793,144.8071366
Buloke Shire,2016,House,85,82000,104109,-36.1736195,143.2180495
Buloke Shire,2016,Units/Apartment,2,185000,185000,-36.1736195,143.2180495
Buloke Shire,2016,Vacant House Block,12,15000,18062,-36.1736195,143.2180495
Buloke Shire,2015,House,93,120000,118921,-36.1736195,143.2180495
Buloke Shire,2015,Units/Apartment,2,170000,170000,-36.1736195,143.2180495
Buloke Shire,2015,Vacant House Block,20,15250,22125,-36.1736195,143.2180495
Buloke Shire,2014,House,90,95000,112017,-36.1736195,143.2180495
Buloke Shire,2014,Units/Apartment,5,188000,169266,-36.1736195,143.2180495
Buloke Shire,2014,Vacant House Block,17,20000,21360,-36.1736195,143.2180495
